ticker,fullName,sector,industry,dividendYield,fiveYearAvgDividendYield,trailingEps,forwardEps,beta,pegRatio,recommendationKey,numberOfAnalystOpinions,targetHighPrice,currentPrice,targetLowPrice,allTimeHigh,allTimeLow,exDividendDate,lastDividendDate,passes_filters
KPT.TO,KP TISSUE INC, Clean Technology & Renewable Energy ,Household & Personal Products,6.34,7.51,0.85,0.78722,0.399,,hold,4.0,12.0,11.38,11.0,19.75,6.58,30 Jun 2026,30 Mar 2026,True
CAS.TO,CASCADES INC, Clean Technology & Renewable Energy ,Packaging & Containers,4.44,4.23,0.69,1.52258,0.656,,buy,6.0,15.0,10.69,13.0,18.48,1.7,11 Jun 2026,11 Mar 2026,True
AQN.TO,ALGONQUIN POWER AND UTILITIES C, Clean Technology & Renewable Energy ,Utilities - Diversified,4.14,6.14,0.37,0.5503785,0.884,1.3,hold,3.0,9.971712,8.51,9.008024,22.67,1.76,30 Jun 2026,30 Mar 2026,True
BLX.TO,BORALEX INC., Clean Technology & Renewable Energy ,Utilities - Renewable,1.79,1.98,0.06,0.95018,-0.049,0.66,hold,6.0,38.0,36.78,35.0,56.7,2.6,26 May 2026,26 Feb 2026,True
T.TO,TELUS CORPORATION, Comm. & Media ,Telecom Services,9.8,6.09,0.72,0.99582,0.743,0.99,hold,17.0,30.0,17.2,17.0,34.65,1.44,10 Jun 2026,10 Mar 2026,True
Y.TO,YELLOW PAGES LIMITED, Comm. & Media ,Publishing,7.76,6.6,1.31,1.32,0.687,,none,1.0,12.0,12.98,12.0,25.52,4.34,24 May 2026,24 Feb 2026,True
CCA.TO,COGECO COMMUNICATIONS INC, Comm. & Media ,Telecom Services,6.22,4.5,7.44,8.42243,0.652,2.06,buy,11.0,83.0,62.975,67.0,132.0,6.25,22 Jul 2026,22 Apr 2026,True
CGO.TO,"COGECO INC., SV", Comm. & Media ,Telecom Services,6.2,4.89,8.73,8.23946,0.571,0.6,none,2.0,81.0,63.385,72.0,107.88,5.25,22 Jul 2026,22 Apr 2026,True
BCE.TO,BCE INC., Comm. & Media ,Telecom Services,5.37,7.43,6.79,2.7242,0.585,0.22,hold,17.0,45.0,32.57,31.0,200.2,0.0,15 Jun 2026,15 Mar 2026,True
TRI.TO,THOMSON REUTERS CORPORATION, Comm. & Media ,Specialty Business Services,2.78,1.49,4.5,6.86388,0.201,6.23,buy,8.0,231.3972,130.8,154.63187,303.9327,19.009733,03 Aug 2026,03 May 2026,True
RAY.TO,STINGRAY GROUP INC SVV, Comm. & Media ,Broadcasting,2.17,4.22,0.63,1.9984,0.939,,strong_buy,6.0,21.5,14.8,20.0,18.0,3.18,26 May 2026,26 Feb 2026,True
PZA.TO,PIZZA PIZZA ROYALTY CORP, Consumer Products & Services ,Restaurants,5.94,6.14,0.94,0.98,0.616,,none,1.0,16.0,13.79,16.0,18.24,5.26,29 Jul 2026,29 Apr 2026,True
AW.TO,A W FOOD SERVICES OF CANADA INC, Consumer Products & Services ,Restaurants,5.19,,2.29,2.5585,,,hold,2.0,40.0,36.55,40.0,41.71,28.36,15 Jun 2026,15 Mar 2026,True
CPKR.TO,CANADA PACKERS INC, Consumer Products & Services ,Farm Products,5.0,,3.9,2.7675,,,buy,5.0,24.0,18.21,20.25,24.0,13.63,10 Jun 2026,10 Mar 2026,True
HLF.TO,HIGH LINER, Consumer Products & Services ,Packaged Foods,4.94,3.59,1.67,1.9334716,0.515,0.31,buy,6.0,19.069572,13.81,14.837788,27.62,1.4,03 Jun 2026,03 Mar 2026,True
GH.TO,GAMEHOST INC., Consumer Products & Services ,Resorts & Casinos,4.48,7.41,1.04,1.03,0.016,,none,1.0,13.65,13.4,13.65,17.21,3.31,29 Jul 2026,29 Apr 2026,True
PBH.TO,PREMIUM BRANDS HOLDINGS CORPORA, Consumer Products & Services ,Packaged Foods,4.0,3.17,0.9,7.64049,0.884,,buy,12.0,150.0,83.18,100.0,137.75,6.55,30 Jun 2026,30 Mar 2026,True
MTY.TO,MTY FOOD GROUP INC, Consumer Products & Services ,Restaurants,3.64,1.1,6.73,4.52667,1.022,,none,6.0,50.0,40.17,42.0,73.5,10.25,02 May 2026,02 Feb 2026,True
LNF.TO,LEONS FURNITURE, Consumer Products & Services ,Specialty Retail,3.62,3.11,2.29,2.4293,1.008,,buy,7.0,50.0,25.94,30.0,30.8,2.9375,10 Jun 2026,10 Mar 2026,True
QSR.TO,RESTAURANT BRANDS INTERNATIONAL, Consumer Products & Services ,Restaurants,3.32,3.38,3.6,6.03337,0.546,0.94,buy,4.0,120.0,109.03,101.0,112.12,36.48,18 Jun 2026,18 Mar 2026,True
NWC.TO,THE NORTH WEST COMPANY INC, Consumer Products & Services ,Grocery Stores,3.23,3.82,2.87,4.03192,0.494,2.0,none,4.0,63.0,50.2,63.0,57.95,6.003333,14 Jul 2026,14 Apr 2026,True
MFI.TO,MAPLE LEAF FOODS, Consumer Products & Services ,Packaged Foods,3.08,3.2,0.34,1.80999,0.86,1.88,strong_buy,9.0,42.0,27.89,32.0,32.96,0.0,08 Jun 2026,08 Mar 2026,True
GBT.TO,BMTC GROUP INC, Consumer Products & Services ,Specialty Retail,2.85,2.58,0.9,0.89,-0.01,,none,,,12.85,,24.1,0.4125,18 Mar 2026,18 Dec 2025,True
JWEL.TO,JAMIESON WELLNESS INC, Consumer Products & Services ,Packaged Foods,2.68,2.16,1.46,2.48091,0.905,,strong_buy,7.0,48.0,33.54,43.0,46.01,16.5,05 Jun 2026,05 Mar 2026,True
PET.TO,PET VALU HOLDINGS LTD, Consumer Products & Services ,Specialty Retail,2.48,,1.39,1.91084,0.881,,buy,10.0,40.0,20.455,27.0,43.43,19.95,30 Jun 2026,30 Mar 2026,True
SAP.TO,SAPUTO INC., Consumer Products & Services ,Packaged Foods,1.93,2.39,1.56,2.24066,0.118,0.51,buy,11.0,53.0,40.97,41.0,48.98,2.4375,02 Jun 2026,02 Mar 2026,True
MRU.TO,METRO INC, Consumer Products & Services ,Grocery Stores,1.79,1.52,4.69,5.5688,0.372,3.17,hold,11.0,112.0,89.805,85.0,109.2,0.99,11 May 2026,11 Feb 2026,True
GIL.TO,GILDAN ACTIVEWEAR INC., Consumer Products & Services ,Apparel Manufacturing,1.63,1.76,2.34,7.336018,1.11,0.48,buy,6.0,127.99207,79.2,82.544975,100.44,0.5625,18 Jun 2026,18 Mar 2026,True
TWC.TO,TWC ENTERPRISES LIMITED, Consumer Products & Services ,Leisure,1.63,1.09,2.5,,,,none,,,24.52,,27.0,3.379722,15 Jun 2026,15 Mar 2026,True
WN.TO,WESTON GEORGE, Consumer Products & Services ,Grocery Stores,1.22,1.51,2.62,5.35432,0.531,1.29,none,8.0,127.0,96.23,74.0,104.5,0.0,12 Jun 2026,12 Mar 2026,True
DOO.TO,BRP INC, Consumer Products & Services ,Recreational Vehicles,1.18,0.8,4.64,5.99381,0.981,0.7,buy,19.0,118.0,72.9,80.0,129.98,13.87,09 Jul 2026,09 Apr 2026,True
PBL.TO,POLLARD BANKNOTE LIMITED, Consumer Products & Services ,Gambling,1.09,0.7,1.26,2.34,0.836,,strong_buy,4.0,41.0,18.12,29.0,67.0,1.61,30 Jun 2026,30 Mar 2026,True
ATD.TO,ALIMENTATION COUCHE-TARD INC, Consumer Products & Services ,Specialty Retail,1.01,0.84,3.96,4.424725,0.768,1.52,buy,19.0,104.70724,79.61,81.514435,87.27,0.159375,25 Jun 2026,25 Mar 2026,True
L.TO,LOBLAW CO, Consumer Products & Services ,Grocery Stores,0.9,1.22,2.11,2.8764,0.405,5.42,buy,11.0,75.0,61.92,43.0,69.59,0.0,12 Jun 2026,12 Mar 2026,True
AI.TO,ATRIUM MORTGAGE INVESTMENT CORP, Financial Services ,Mortgage Finance,7.66,7.75,1.03,1.03333,0.867,,strong_buy,3.0,13.5,12.07,13.0,15.49,0.0,29 Jul 2026,29 Apr 2026,True
FC.TO,FIRM CAPITAL MORTGAGE INV. CORP, Financial Services ,Mortgage Finance,7.62,7.85,1.02,1.025,0.809,,none,2.0,13.0,12.14,12.5,15.84,7.08,29 Jul 2026,29 Apr 2026,True
MKP.TO,MCAN MORTGAGE CORPORATION, Financial Services ,Mortgage Finance,6.55,8.4,1.89,1.89,,,buy,2.0,26.5,24.89,24.0,25.85,0.0,12 Jun 2026,12 Mar 2026,True
OLY.TO,OLYMPIA FINANCIAL GROUP INC, Financial Services ,Asset Management,5.88,5.81,8.24,7.509921,0.054,,none,1.0,167.63431,122.01,167.63431,134.24,18.52,20 Jul 2026,20 Apr 2026,True
LB.TO,LAURENTIAN BANK, Financial Services ,Banks - Regional,4.66,5.56,1.5,3.14808,1.182,1.88,none,7.0,40.5,40.35,40.0,62.9,14.5,30 Jun 2026,31 Mar 2026,True
BAM.TO,BROOKFIELD ASSET MANAGEMENT LTD, Financial Services ,Asset Management,4.29,,2.11,2.9756806,1.248,1.35,buy,5.0,93.91659,64.91,60.201893,90.24,28.23,26 May 2026,26 Feb 2026,True
BNS.TO,BANK OF NOVA SCOTIA, Financial Services ,Banks - Diversified,4.15,5.48,6.74,9.16326,1.215,1.09,hold,14.0,117.0,104.24,92.0,106.59,6.0625,06 Jul 2026,06 Apr 2026,True
SFC.TO,SAGICOR FINANCIAL COMPANY LTD, Financial Services ,Insurance - Life,3.99,4.9,0.65,1.55,0.039,,buy,4.0,13.0,9.5,11.0,10.96,4.25,25 Jun 2026,25 Mar 2026,True
SLF.TO,SUN LIFE FINANCIAL INC., Financial Services ,Insurance - Diversified,3.66,4.06,6.15,8.5448,0.817,1.18,buy,14.0,115.0,98.22,78.0,98.88,12.7,24 May 2026,24 Feb 2026,True
POW.TO,"POWER CORPORATION OF CANADA, SV", Financial Services ,Insurance - Life,3.5,4.95,3.94,6.5725,0.944,0.73,hold,9.0,81.0,75.765,58.0,77.05,4.3125,30 Jun 2026,30 Mar 2026,True
GWO.TO,GREAT-WEST LIFECO INC, Financial Services ,Insurance - Life,3.4,4.88,4.26,5.93087,0.687,1.88,buy,12.0,83.0,72.87,51.0,73.87,11.21,02 Jun 2026,02 Mar 2026,True
MFC.TO,MANULIFE FIN, Financial Services ,Insurance - Life,3.39,4.6,3.07,4.96033,0.761,0.78,buy,15.0,61.0,52.35,41.7,53.86,7.625,24 May 2026,24 Feb 2026,True
IGM.TO,IGM FINANCIAL INC., Financial Services ,Asset Management,3.25,5.22,4.64,5.51511,1.105,3.23,hold,8.0,85.0,75.76,62.0,76.77,7.25,30 Jun 2026,30 Mar 2026,True
TD.TO,TORONTO-DOMINION BANK, Financial Services ,Banks - Diversified,2.96,4.18,12.35,10.36739,0.87,0.91,buy,14.0,150.0,144.64,115.0,147.0,4.875,08 Jul 2026,08 Apr 2026,True
CM.TO,CANADIAN IMPERIAL BANK OF COMME, Financial Services ,Banks - Diversified,2.81,4.63,9.59,11.08877,1.302,1.79,buy,14.0,155.0,149.7,104.0,153.71,0.0,26 Jun 2026,26 Mar 2026,True
EIF.TO,EXCHANGE INCOME CORPORATION, Financial Services ,Airlines,2.75,4.85,3.12,4.97803,0.889,,buy,12.0,135.0,99.44,111.0,111.0,7.6,29 Jul 2026,29 Apr 2026,True
QRC.TO,QUEENS ROAD CAPITAL INVESTMENT , Financial Services ,Asset Management,2.25,,8.65,0.0,0.617,,none,,,15.6,,22.25,0.25,02 Feb 2026,02 Nov 2025,True
IAG.TO,IA FINANCIAL CORPORATION, Financial Services ,Insurance - Diversified,2.19,2.96,11.29,15.34954,0.717,1.13,buy,7.0,193.0,175.38,167.0,182.99,7.8,26 May 2026,26 Feb 2026,True
DLCG.TO,DOMINION LENDING CENTRES INC, Financial Services ,Mortgage Finance,2.05,,0.31,0.5875,1.118,,buy,5.0,12.5,9.51,11.5,11.2,0.534,01 Jun 2026,01 Mar 2026,True
EQB.TO,EQB INC, Financial Services ,Banks - Regional,1.8,1.73,5.98,12.60125,1.324,,none,9.0,132.0,121.14,95.0,126.51,4.33,12 Jun 2026,12 Mar 2026,True
X.TO,TMX GROUP LIMITED, Financial Services ,Financial Data & Stock Exchanges,1.59,2.04,1.49,2.55725,0.03,,buy,8.0,70.0,56.1,59.0,57.98,3.25,19 May 2026,19 Feb 2026,True
URB.TO,URBANA CORPORATION, Financial Services ,Asset Management,1.52,2.28,1.67,,0.185,,none,,,9.19,,11.0,0.81,15 Apr 2026,15 Jan 2026,True
DFY.TO,DEFINITY FINANCIAL CORPORATION, Financial Services ,Insurance - Property & Casualty,1.25,,3.51,4.41239,0.152,,buy,11.0,94.0,67.26,72.0,79.95,26.0,10 Jun 2026,10 Mar 2026,True
SII.TO,SPROTT INC., Financial Services ,Asset Management,1.08,2.36,3.57,7.783,1.296,2.46,buy,5.0,218.0,177.68,190.0,230.43,16.7,01 Jun 2026,01 Mar 2026,True
ELF.TO,E-L FINANCIAL, Financial Services ,Insurance - Life,0.94,1.1,3.44,0.25,0.83,1.89,none,,,16.94,,1310.0,2.15,30 Jun 2026,30 Mar 2026,True
BN.TO,BROOKFIELD CORPORATION, Financial Services ,Asset Management,0.63,0.87,0.67,,1.847,1.27,buy,3.0,76.22216,61.3,69.24102,68.44,0.772921,16 Jun 2026,16 Mar 2026,True
BNT.TO,BROOKFIELD WEALTH SOLUTIONS LTD, Financial Services ,Insurance - Diversified,0.63,,4.58,,1.671,,none,,,61.27,,102.57,38.93,16 Jun 2026,16 Mar 2026,True
ADN.TO,ACADIAN TIMBER CORP, Industrial Products & Services ,Lumber & Wood Production,6.69,6.77,2.7,0.8,0.476,17.63,buy,2.0,18.5,17.4,18.0,21.57,5.1,30 Jun 2026,30 Mar 2026,True
PHX.TO,PHX ENERGY SERVICES CORP., Industrial Products & Services ,Oil & Gas Drilling,6.41,6.54,1.13,1.165,1.486,,strong_buy,3.0,15.0,12.47,14.25,18.26,0.51,30 Jun 2026,30 Mar 2026,True
GEI.TO,GIBSON ENERGY INC, Industrial Products & Services ,Oil & Gas Midstream,5.82,6.6,1.2,1.60339,0.621,1.31,buy,13.0,34.0,30.18,27.0,37.77,10.96,29 Jun 2026,29 Mar 2026,True
DBM.TO,DOMAN BUILDING MATERIALS GROUP , Industrial Products & Services ,Industrial Distribution,5.46,7.29,0.92,0.92817,1.393,,buy,7.0,12.5,10.01,11.5,11.0,2.16,30 Jun 2026,30 Mar 2026,True
RIC.TO,RICHARDS GROUP INC, Industrial Products & Services ,Packaging & Containers,4.52,3.59,1.44,3.095,0.604,,none,3.0,42.0,27.86,41.0,86.28,2.31,29 Jul 2026,29 Apr 2026,True
WTE.TO,WESTSHORE TERMINALS INVESTMENT , Industrial Products & Services ,Marine Shipping,4.2,4.82,1.47,1.64,0.537,,none,1.0,39.0,35.7,39.0,38.4,6.15,30 Jun 2026,30 Mar 2026,True
RGSI.TO,ROCKPOINT GAS STORAGE INC, Industrial Products & Services ,Utilities - Regulated Gas,4.17,,2.44,2.4834964,,,buy,10.0,34.831062,29.38,29.718693,30.37,24.4,15 Jun 2026,15 Mar 2026,True
MTL.TO,MULLEN GROUP LTD., Industrial Products & Services ,Trucking,4.09,4.85,1.02,1.40635,0.898,2.29,buy,10.0,24.0,20.56,18.0,37.75,3.0,29 Jul 2026,29 Apr 2026,True
WJX.TO,WAJAX CORPORATION, Industrial Products & Services ,Industrial Distribution,4.08,4.98,2.58,3.45,0.917,1.08,hold,4.0,38.0,33.85,34.0,53.43,3.1,15 Jun 2026,15 Mar 2026,True
ALC.TO,ALGOMA CENTRAL, Industrial Products & Services ,Marine Shipping,3.83,4.45,3.53,1.95,0.406,,none,,,22.05,,24.1,2.0,12 May 2026,12 Feb 2026,True
PSI.TO,PASON SYSTEMS INC., Industrial Products & Services ,Oil & Gas Equipment & Services,3.78,3.12,0.68,0.9675,0.593,2.24,buy,5.0,16.0,13.67,13.0,35.51,0.5625,16 Jun 2026,16 Mar 2026,True
MG.TO,MAGNA INTERNATIONAL INC, Industrial Products & Services ,Auto Parts,3.28,3.46,3.24,10.291747,1.847,0.34,hold,6.0,109.44166,81.06,66.69537,126.0,6.36,26 May 2026,26 Feb 2026,True
RUS.TO,RUSSEL METALS, Industrial Products & Services ,Industrial Distribution,3.26,4.32,3.01,3.81857,1.105,0.53,buy,7.0,60.0,53.03,49.0,53.37,2.5,26 May 2026,26 Feb 2026,True
DXT.TO,DEXTERRA GROUP INC, Industrial Products & Services ,Specialty Business Services,3.22,4.99,0.65,0.974,0.64,,buy,8.0,18.0,11.89,13.75,50.25,1.3,30 Jun 2026,30 Mar 2026,True
KBL.TO,KBRO LINEN INC., Industrial Products & Services ,Specialty Business Services,3.05,3.54,1.51,2.732,0.49,,buy,7.0,55.0,39.02,46.0,56.99,8.5,29 Jul 2026,29 Apr 2026,True
VLN.TO,"VELAN INC., SV", Industrial Products & Services ,Specialty Industrial Machinery,2.62,1.94,0.19,,0.145,,none,,,15.25,,40.0,3.51,12 Feb 2026,12 Nov 2025,True
GDL.TO,GOODFELLOW INC, Industrial Products & Services ,Lumber & Wood Production,2.59,6.02,0.74,,0.489,,none,,,11.56,,22.4,2.1,04 Jun 2026,04 Mar 2026,True
CNR.TO,CANADIAN NATIONAL RAILWAY CO., Industrial Products & Services ,Railroads,2.4,2.02,7.59,8.74697,0.99,2.51,buy,20.0,190.0,148.47,135.0,181.34,3.941667,09 Jun 2026,09 Mar 2026,True
NOA.TO,NORTH AMERICAN CONSTRUCTION GRO, Industrial Products & Services ,Oil & Gas Equipment & Services,2.4,1.55,1.14,3.2411,1.162,,buy,7.0,28.0,19.86,20.0,34.87,1.95,25 Jun 2026,25 Mar 2026,True
MRE.TO,MARTINREA INTERNATIONAL INC., Industrial Products & Services ,Auto Parts,1.99,1.89,1.62,2.389,,0.32,buy,5.0,15.2,10.43,10.5,19.49,1.51,30 Jun 2026,30 Mar 2026,True
CJT.TO,CARGOJET INC., Industrial Products & Services ,Integrated Freight & Logistics,1.98,1.06,5.24,4.57364,1.14,,buy,13.0,140.0,75.5,94.0,250.01,6.3,19 Jun 2026,19 Mar 2026,True
TOT.TO,TOTAL ENERGY SERVICES INC., Industrial Products & Services ,Oil & Gas Equipment & Services,1.98,3.14,1.95,2.69,1.032,0.67,strong_buy,1.0,29.0,24.28,29.0,24.39,0.44,30 Jun 2026,30 Mar 2026,True
ADEN.TO,ADENTRA INC, Industrial Products & Services ,Industrial Distribution,1.91,1.54,3.71,4.2019653,1.334,,buy,8.0,60.83069,33.13,43.840565,49.58,0.5,12 Jul 2026,12 Apr 2026,True
SIS.TO,SAVARIA CORP., Industrial Products & Services ,Specialty Industrial Machinery,1.9,2.92,0.96,1.576,0.995,,buy,8.0,37.0,29.08,33.0,30.62,0.5,29 Jul 2026,29 Apr 2026,True
SES.TO,SECURE WASTE INFRASTRUCTURE COR, Industrial Products & Services ,Waste Management,1.87,2.25,0.54,1.22304,0.747,3.32,hold,9.0,24.75,22.09,21.0,28.05,0.64,30 Jun 2026,31 Mar 2026,True
EFN.TO,ELEMENT FLEET MANAGEMENT CORP, Industrial Products & Services ,Rental & Leasing Services,1.69,1.8,0.94,2.1472,0.5,,strong_buy,10.0,50.0,30.81,35.0,38.26,3.21,30 Jun 2026,30 Mar 2026,True
SJ.TO,STELLA JONES INC, Industrial Products & Services ,Lumber & Wood Production,1.66,1.52,6.09,6.61912,0.275,,buy,9.0,110.0,81.45,86.0,101.31,0.3125,01 Jul 2026,01 Apr 2026,True
BDT.TO,BIRD CONSTRUCTION INC., Industrial Products & Services ,Engineering & Construction,1.63,3.56,0.86,3.41461,0.717,,strong_buy,8.0,63.0,54.5,48.0,51.74,3.0,29 Jul 2026,29 Apr 2026,True
RCH.TO,RICHELIEU HARDWARE LTD, Industrial Products & Services ,Tools & Accessories,1.58,1.3,1.56,2.09366,0.888,0.85,none,2.0,42.0,38.51,41.0,51.52,0.554167,22 Jul 2026,22 Apr 2026,True
ARE.TO,AECON GROUP INC, Industrial Products & Services ,Engineering & Construction,1.49,4.58,0.55,1.83889,1.224,5.9,hold,11.0,62.0,54.655,46.0,52.9,1.95,22 Jun 2026,22 Mar 2026,True
TFII.TO,TFI INTERNATIONAL INC, Industrial Products & Services ,Trucking,1.32,1.25,4.91,9.376481,1.462,,buy,11.0,221.8593,182.66,115.91944,220.93,2.78,30 Jun 2026,30 Mar 2026,True
LNR.TO,LINAMAR CORP, Industrial Products & Services ,Auto Parts,1.29,1.32,9.73,12.86201,1.32,0.56,strong_buy,6.0,116.0,91.1,90.0,98.65,2.0,26 Jun 2026,26 Mar 2026,True
FTT.TO,FINNING INTL, Industrial Products & Services ,Industrial Distribution,1.22,2.46,3.92,5.21063,1.32,0.49,buy,9.0,110.0,98.93,89.0,101.89,4.2825,25 May 2026,25 Feb 2026,True
RBA.TO,RB GLOBAL INC, Industrial Products & Services ,Specialty Business Services,1.17,1.45,2.8,6.5906973,0.57,0.87,buy,1.0,100.54122,143.52,100.54122,164.85,11.533333,08 May 2026,08 Feb 2026,True
CHR.TO,CHORUS AVIATION INC, Industrial Products & Services ,Airports & Air Services,1.13,7.29,3.01,2.19244,1.585,1.89,none,7.0,35.0,23.51,28.0,69.02,2.57,12 Jun 2026,12 Mar 2026,True
BDI.TO,BLACK DIAMOND GROUP LTD, Industrial Products & Services ,Rental & Leasing Services,1.02,7.67,0.54,1.01667,,,buy,7.0,25.0,16.35,18.25,35.99,0.9,30 Jun 2026,30 Mar 2026,True
BDGI.TO,BADGER INFRASTRUCTURE SOLUTIONS, Industrial Products & Services ,Engineering & Construction,0.98,1.78,2.3,3.86267,0.925,,buy,9.0,94.0,80.14,74.0,82.57,0.386667,30 Jun 2026,30 Mar 2026,True
CEU.TO,CES ENERGY SOLUTIONS CORP, Industrial Products & Services ,Oil & Gas Equipment & Services,0.95,2.05,0.92,1.15143,1.011,1.28,buy,8.0,23.0,18.85,18.0,19.58,0.478889,30 Jun 2026,30 Mar 2026,True
