Ticker, Sector 
VNP, Clean Technology & Renewable Energy 
AW, Consumer Products & Services 
AAB, Financial Services 
ABRA, Mining 
ADN, Industrial Products & Services 
ACD, Financial Services 
ARA, Mining 
ACX, Industrial Products & Services 
ADCO, Technology 
ADEN, Industrial Products & Services 
DRX, Industrial Products & Services 
AAV, Oil & Gas 
ARE, Industrial Products & Services 
AEG, Consumer Products & Services 
AFN, Industrial Products & Services 
AGF, Financial Services 
AEM, Mining 
AIM, Consumer Products & Services 
AC, Consumer Products & Services 
BOS, Industrial Products & Services 
AKT, Industrial Products & Services 
AGI, Mining 
AD, Financial Services 
ALC, Industrial Products & Services 
ASTL, Industrial Products & Services 
AQN, Clean Technology & Renewable Energy 
ATD, Consumer Products & Services 
ALYA, Technology 
ALK, Mining 
AAUC, Mining 
AP, Real Estate 
AII, Mining 
ATCU, Mining 
ALA, Utilities & Pipelines 
ALS, Mining 
AIF, Technology 
HOT, Real Estate 
USA, Mining 
ARG, Mining 
ANRG, Clean Technology & Renewable Energy 
APM, Mining 
ADW, Consumer Products & Services 
APLI, Life Sciences 
APS, Life Sciences 
ARX, Oil & Gas 
ARIS, Mining 
ATZ, Consumer Products & Services 
AMC, Mining 
ASCU, Mining 
ACO, Utilities & Pipelines 
ATH, Oil & Gas 
ATRL, Industrial Products & Services 
AI, Financial Services 
ATS, Industrial Products & Services 
ACB, Life Sciences 
ACQ, Consumer Products & Services 
APR, Real Estate 
XLY, Consumer Products & Services 
AVL, Mining 
AVNT, Life Sciences 
AVCN, Life Sciences 
ASM, Mining 
AYA, Mining 
BTO, Mining 
BDGI, Industrial Products & Services 
BLDP, Clean Technology & Renewable Energy 
BMO, Financial Services 
BNS, Financial Services 
ABX, Mining 
BLCO, Life Sciences 
BHC, Life Sciences 
BYL, Technology 
BTE, Oil & Gas 
BCE, Comm. & Media 
BEK, Real Estate 
BSX, Mining 
BNG, Oil & Gas 
BOIL, Industrial Products & Services 
BR, Consumer Products & Services 
BIR, Oil & Gas 
BCHT, Clean Technology & Renewable Energy 
BDT, Industrial Products & Services 
BITF, Technology 
BDI, Industrial Products & Services 
BKI, Mining 
BB, Technology 
BLN, Technology 
BGAU, Mining 
BAMI, Comm. & Media 
GBT, Consumer Products & Services 
BEI, Real Estate 
BBD, Industrial Products & Services 
BNE, Oil & Gas 
BLX, Clean Technology & Renewable Energy 
BPF, Consumer Products & Services 
BYD, Industrial Products & Services 
BRAG, Technology 
BCT, Life Sciences 
BRY, Industrial Products & Services 
BRE, Real Estate 
BAM, Financial Services 
BBUC, Industrial Products & Services 
BBU, Real Estate 
BN, Financial Services 
BIPC, Industrial Products & Services 
BIP, Industrial Products & Services 
BPO, Real Estate 
BPYP, Real Estate 
BPS, Financial Services 
BEPC, Clean Technology & Renewable Energy 
BEP, Clean Technology & Renewable Energy 
BRF, Clean Technology & Renewable Energy 
BNT, Financial Services 
DOO, Consumer Products & Services 
HOM, Real Estate 
BTB, Real Estate 
BU, Clean Technology & Renewable Energy 
CAE, Technology 
CWL, Industrial Products & Services 
CFW, Industrial Products & Services 
CGY, Technology 
CCO, Mining 
CF, Financial Services 
GOOS, Consumer Products & Services 
CPKR, Consumer Products & Services 
CAR, Real Estate 
CM, Financial Services 
CNR, Industrial Products & Services 
CNQ, Oil & Gas 
CP, Industrial Products & Services 
CTC, Consumer Products & Services 
CU, Utilities & Pipelines 
CCM, Mining 
CFP, Industrial Products & Services 
CFX, Industrial Products & Services 
ICE, Real Estate 
WEED, Life Sciences 
CPX, Utilities & Pipelines 
CS, Mining 
CSE, Clean Technology & Renewable Energy 
CJ, Oil & Gas 
CRDL, Life Sciences 
CRRX, Life Sciences 
CJT, Industrial Products & Services 
CUP, Utilities & Pipelines 
CAS, Clean Technology & Renewable Energy 
CVVY, Oil & Gas 
CCL, Industrial Products & Services 
CLS, Technology 
CEMX, Industrial Products & Services 
CVE, Oil & Gas 
CG, Mining 
CNT, Mining 
CEU, Industrial Products & Services 
GIB, Technology 
CIA, Mining 
CWEB, Life Sciences 
CSH, Real Estate 
CHE, Industrial Products & Services 
CGG, Mining 
CHP, Real Estate 
CHR, Industrial Products & Services 
CGX, Comm. & Media 
CPH, Life Sciences 
CVG, Financial Services 
CKI, Industrial Products & Services 
CCA, Comm. & Media 
CGO, Comm. & Media 
CNL, Mining 
CIGI, Real Estate 
CMG, Technology 
CDR, Oil & Gas 
CFF, Industrial Products & Services 
CSU, Technology 
CCS, Financial Services 
COPR, Mining 
CSW, Consumer Products & Services 
CJR, Comm. & Media 
CSCI, Life Sciences 
CVO, Technology 
CTX, Life Sciences 
CRR, Real Estate 
CRON, Life Sciences 
CRWN, Financial Services 
CRT, Real Estate 
CIU, Utilities & Pipelines 
CURA, Life Sciences 
CXI, Financial Services 
DTOL, Technology 
DCM, Industrial Products & Services 
DBO, Technology 
DFY, Financial Services 
DML, Mining 
DSG, Technology 
DXT, Industrial Products & Services 
DRT, Clean Technology & Renewable Energy 
DSV, Mining 
DIV, Industrial Products & Services 
DCBO, Technology 
DOL, Consumer Products & Services 
DBM, Industrial Products & Services 
DLCG, Financial Services 
DII, Consumer Products & Services 
DPM, Mining 
MPCT, Real Estate 
DIR, Real Estate 
D, Real Estate 
DRM, Real Estate 
DHT, Life Sciences 
DC, Financial Services 
DND, Technology 
DYA, Clean Technology & Renewable Energy 
DNG, Mining 
EAGR, Technology 
ELR, Mining 
ECN, Financial Services 
ECOR, Mining 
ECO, Clean Technology & Renewable Energy 
ELF, Financial Services 
ELD, Mining 
ELVA, Clean Technology & Renewable Energy 
EFN, Industrial Products & Services 
ELO, Mining 
BABY, Life Sciences 
EMA, Utilities & Pipelines 
EMP, Consumer Products & Services 
ENB, Utilities & Pipelines 
EDV, Mining 
EDR, Mining 
EFX, Industrial Products & Services 
EFR, Mining 
ENGH, Technology 
ESI, Industrial Products & Services 
E, Industrial Products & Services 
EGLX, Technology 
ETG, Mining 
EQB, Financial Services 
EQX, Mining 
ERD, Mining 
ERO, Mining 
EPRX, Life Sciences 
ESM, Mining 
ERE, Real Estate 
ET, Technology 
EIF, Financial Services 
XTC, Industrial Products & Services 
EXE, Real Estate 
FFH, Financial Services 
FIH, Financial Services 
FDY, Mining 
FRX, Life Sciences 
FSZ, Financial Services 
FTT, Industrial Products & Services 
FTG, Technology 
FFM, Mining 
FC, Financial Services 
